iter	Passed	Remaining
813	93715	21414
814	93815	21295
815	93959	21186
816	94082	21073
817	94214	20962
818	94346	20850
819	94462	20735
820	94563	20617
821	94664	20499
822	94756	20378
823	94862	20261
824	94956	20142
825	95059	20024
826	95175	19909
827	95303	19797
828	95414	19681
829	95503	19560
830	95600	19442
831	95695	19323
832	95781	19202
833	95877	19083
834	95985	18967
835	96078	18847
836	96168	18728
837	96263	18609
838	96360	18491
839	96462	18373
840	96567	18257
841	96680	18142
842	96772	18022
843	96910	17912
844	97030	17798
845	97145	17683
846	97272	17571
847	97404	17459
848	97539	17347
849	97665	17235
850	97764	17117
851	97882	17003
852	98000	16888
853	98146	16779
854	98255	16663
855	98379	16549
856	98509	16437
857	98633	16323
858	98758	16210
859	98888	16098
860	99002	15983
861	99105	15866
862	99194	15747
863	99282	15627
864	99404	15513
865	99526	15400
866	99658	15287
867	99757	15170
868	99872	15055
869	99980	14939
870	100089	14823
871	100200	14708
872	100284	14588
873	100382	14471
874	100485	14355
875	100585	14238
876	100703	14123
877	100799	14006
878	100898	13889
879	100981	13770
880	101116	13658
881	101241	13544
882	101380	13433
883	101522	13322
884	101640	13207
885	101804	13099
886	101912	12983
887	102029	12868
888	102153	12754
889	102279	12641
890	102396	12526
891	102511	12411
892	102623	12296
893	102759	12184
894	102867	12068
895	102985	11953
896	103090	11837
897	103152	11716
898	103241	11598
899	103354	11483
900	103464	11368
901	103581	11253
902	103706	11140
903	103828	11026
904	103933	10910
905	104017	10792
906	104098	10673
907	104209	10558
908	104274	10438
909	104375	10322
910	104445	10203
911	104545	10087
912	104645	9971
913	104732	9854
914	104844	9739
915	104960	9625
916	105069	9510
917	105194	9396
918	105319	9282
919	105431	9167
920	105551	9053
921	105660	8938
922	105816	8827
923	105924	8712
924	106029	8596
925	106128	8481
926	106253	8367
927	106375	8253
928	106504	8139
929	106648	8027
930	106769	7913
931	106899	7799
932	107031	7686
933	107131	7570
934	107200	7452
935	107312	7337
936	107423	7222
937	107533	7107
938	107654	6993
939	107778	6879
940	107892	6764
941	107985	6648
942	108067	6532
943	108174	6417
944	108268	6301
945	108359	6185
946	108455	6069
947	108530	5953
948	108643	5838
949	108755	5723
950	108849	5608
951	108948	5493
952	109064	5378
953	109185	5264
954	109302	5150
955	109412	5035
956	109537	4921
957	109617	4805
958	109757	4692
959	109878	4578
960	109988	4463
961	110125	4350
962	110251	4236
963	110366	4121
964	110486	4007
965	110621	3893
966	110741	3779
967	110873	3665
968	111002	3551
969	111090	3435
970	111177	3320
971	111257	3204
972	111348	3089
973	111460	2975
974	111569	2860
975	111690	2746
976	111804	2632
977	111902	2517
978	112006	2402
979	112100	2287
980	112204	2173
981	112300	2058
982	112398	1943
983	112488	1829
984	112552	1714
985	112661	1599
986	112760	1485
987	112848	1370
988	112949	1256
989	113059	1142
990	113156	1027
991	113279	913
992	113384	799
993	113501	685
994	113620	570
995	113737	456
996	113902	342
997	114030	228
998	114152	114
999	114269	0
